Ticker,Name,Year,Fiscal_Year_End,Total_Assets,Current_Assets,Current_Liab,Retained_Earnings,Total_Liab,EBIT,Sales,Shares,Closing_Price,Market_Cap,Z_Score,Zone,Source
AAPL,Apple,2021,2021-09-25,351002000000.0,134836000000.0,125481000000.0,5562000000.0,287912000000.0,108949000000.0,365817000000.0,,,2428611988720.0,7.181830724356376,Safe,SEC XBRL companyfacts + course-provided market caps
AAPL,Apple,2022,2022-09-24,352755000000.0,135405000000.0,153982000000.0,-3068000000.0,302083000000.0,119437000000.0,394328000000.0,,,2417523223360.0,6.961512978445869,Safe,SEC XBRL companyfacts + course-provided market caps
AAPL,Apple,2023,2023-09-30,352583000000.0,143566000000.0,145308000000.0,-214000000.0,290437000000.0,114301000000.0,383285000000.0,,,2676736860720.0,7.679842354103073,Safe,SEC XBRL companyfacts + course-provided market caps
MSFT,Microsoft,2021,2021-06-30,333779000000.0,184406000000.0,88657000000.0,57055000000.0,191791000000.0,69916000000.0,168088000000.0,,,2040303545865.9,8.161278732894582,Safe,SEC XBRL companyfacts + course-provided market caps
MSFT,Microsoft,2022,2022-06-30,364840000000.0,169684000000.0,95082000000.0,84281000000.0,198298000000.0,83383000000.0,198270000000.0,,,1916979120000.0,7.66673167427807,Safe,SEC XBRL companyfacts + course-provided market caps
MSFT,Microsoft,2023,2023-06-30,411976000000.0,184257000000.0,104149000000.0,118848000000.0,205753000000.0,88523000000.0,211915000000.0,,,2530893280000.0,9.241068450750033,Safe,SEC XBRL companyfacts + course-provided market caps
GOOGL,Alphabet,2021,2021-12-31,359268000000.0,188143000000.0,64254000000.0,191484000000.0,107633000000.0,78714000000.0,257637000000.0,,,1185281042276.96,9.207460988979273,Safe,SEC XBRL companyfacts + course-provided market caps
GOOGL,Alphabet,2022,2022-12-31,365264000000.0,164795000000.0,69300000000.0,195563000000.0,109120000000.0,74842000000.0,282836000000.0,,,1145003890000.0,8.80963198196084,Safe,SEC XBRL companyfacts + course-provided market caps
GOOGL,Alphabet,2023,2023-12-31,402392000000.0,171530000000.0,81814000000.0,211247000000.0,119013000000.0,84293000000.0,307394000000.0,,,1755459040000.0,11.307804765707566,Safe,SEC XBRL companyfacts + course-provided market caps
AMZN,Amazon,2021,2021-12-31,420549000000.0,161580000000.0,142266000000.0,85915000000.0,282304000000.0,24879000000.0,469822000000.0,,,1691002595270.8,5.247509963500775,Safe,SEC XBRL companyfacts + course-provided market caps
AMZN,Amazon,2022,2022-12-31,462675000000.0,146791000000.0,155393000000.0,83193000000.0,316632000000.0,12248000000.0,513983000000.0,,,856938950784.0,3.0515258559050293,Safe,SEC XBRL companyfacts + course-provided market caps
AMZN,Amazon,2023,2023-12-31,527854000000.0,172351000000.0,164917000000.0,113618000000.0,325979000000.0,36852000000.0,574785000000.0,,,856938950784.0,3.2148309200288265,Safe,SEC XBRL companyfacts + course-provided market caps
META,Meta Platforms,2021,2021-12-31,165987000000.0,66666000000.0,21135000000.0,69761000000.0,41108000000.0,46753000000.0,117929000000.0,,,935644813206.6,16.213918791477898,Safe,SEC XBRL companyfacts + course-provided market caps
META,Meta Platforms,2022,2022-12-31,185727000000.0,59549000000.0,27026000000.0,64799000000.0,60014000000.0,28944000000.0,116609000000.0,,,315555188424.08,4.995530357794756,Safe,SEC XBRL companyfacts + course-provided market caps
META,Meta Platforms,2023,2023-12-31,229623000000.0,85365000000.0,31960000000.0,82070000000.0,76455000000.0,46751000000.0,134902000000.0,,,909628612618.72,9.17738008101853,Safe,SEC XBRL companyfacts + course-provided market caps
NVDA,Nvidia,2021,2021-01-31,28791000000.0,16055000000.0,3925000000.0,18908000000.0,11898000000.0,4532000000.0,16675000000.0,,,1286504840000.0,67.40032280994684,Safe,SEC XBRL companyfacts + course-provided market caps
NVDA,Nvidia,2022,2022-01-30,44187000000.0,28829000000.0,4335000000.0,16235000000.0,17575000000.0,10041000000.0,26914000000.0,,,571000000000.0,22.03215318795288,Safe,SEC XBRL companyfacts + course-provided market caps
NVDA,Nvidia,2023,2023-01-29,41182000000.0,23073000000.0,6563000000.0,10171000000.0,19081000000.0,4224000000.0,26974000000.0,,,500979000000.0,17.573555376316552,Safe,SEC XBRL companyfacts + course-provided market caps
TSLA,Tesla,2021,2021-12-31,62131000000.0,27100000000.0,19705000000.0,329000000.0,30548000000.0,6523000000.0,53823000000.0,,,1061285949792.88,22.20793427217329,Safe,SEC XBRL companyfacts + course-provided market caps
TSLA,Tesla,2022,2022-12-31,82338000000.0,40917000000.0,26709000000.0,12885000000.0,36440000000.0,13656000000.0,81462000000.0,,,388971946667.82,8.367416313813655,Safe,SEC XBRL companyfacts + course-provided market caps
TSLA,Tesla,2023,2023-12-31,106618000000.0,49616000000.0,28748000000.0,27882000000.0,43009000000.0,8891000000.0,96773000000.0,,,789898387235.68,12.803373863404783,Safe,SEC XBRL companyfacts + course-provided market caps
