instrument,sector,Year,q,ESGscore,Firm_Size,Leverage
A,Manufacturing,2003,2.0664,28.49,8.748,0.4072
A,Manufacturing,2004,1.8926,52.43,8.862,0.3222
A,Manufacturing,2005,2.385,62.45,8.817,0.0
A,Manufacturing,2006,2.1746,69.63,8.905,0.4112
A,Manufacturing,2007,2.0812,69.63,8.93,0.6453
A,Manufacturing,2008,1.33,78.14,8.914,0.8304
A,Manufacturing,2009,1.5065,72.79,8.937,1.1588
A,Manufacturing,2010,1.623,75.0,9.179,1.1434
A,Manufacturing,2011,1.659,78.09,9.111,0.5072
A,Manufacturing,2012,1.4077,77.18,9.263,0.4558
A,Manufacturing,2013,1.831,76.94,9.277,0.5106
A,Manufacturing,2014,1.9646,82.98,9.29,0.5213
A,Manufacturing,2015,1.8975,78.09,8.92,0.3972
A,Manufacturing,2016,2.0514,88.48,8.962,0.4506
A,Manufacturing,2017,2.8382,87.65,9.039,0.4163
A,Manufacturing,2018,2.6207,89.3,9.053,0.3939
A,Manufacturing,2019,2.7316,87.89,9.154,0.507
A,Manufacturing,2020,3.5106,86.64,9.172,0.5206
A,Manufacturing,2021,4.718,87.75,9.278,0.5402
A,Manufacturing,2022,4.1559,87.75,9.262,0.5506
A,Manufacturing,2023,3.075,81.87,9.284,0.496
AAPL,Manufacturing,2005,3.8755,51.75,9.355,0.0
AAPL,Manufacturing,2006,3.8267,44.98,9.753,0.0
AAPL,Manufacturing,2007,5.2817,37.28,10.14,0.0
AAPL,Manufacturing,2008,2.5515,52.82,10.586,0.0
AAPL,Manufacturing,2009,3.5111,61.93,10.769,0.0
AAPL,Manufacturing,2010,3.457,59.89,11.228,0.0
AAPL,Manufacturing,2011,3.045,52.64,11.665,0.0
AAPL,Manufacturing,2012,3.5587,56.55,12.079,0.0
AAPL,Manufacturing,2013,2.1529,60.3,12.24,0.1373
AAPL,Manufacturing,2014,2.7015,56.17,12.354,0.3164
AAPL,Manufacturing,2015,2.3403,54.21,12.579,0.5401
AAPL,Manufacturing,2016,2.1458,61.56,12.681,0.6786
AAPL,Manufacturing,2017,2.4132,68.11,12.836,0.863
AAPL,Manufacturing,2018,3.248,70.74,12.81,1.0685
AAPL,Manufacturing,2019,3.2589,68.99,12.732,1.194
AAPL,Manufacturing,2020,6.4478,75.61,12.688,1.8714
AAPL,Manufacturing,2021,7.0111,82.25,12.769,2.1639
AAPL,Manufacturing,2022,6.6218,77.76,12.774,2.6145
AAPL,Manufacturing,2023,7.9024,77.76,12.773,1.9942
ABBV,Manufacturing,2013,3.3753,45.17,10.282,3.2776
ABBV,Manufacturing,2014,4.3254,61.33,10.224,8.6171
ABBV,Manufacturing,2015,2.3947,67.86,10.879,8.0281
ABBV,Manufacturing,2016,2.0661,75.12,11.099,7.9469
ABBV,Manufacturing,2017,2.7031,79.91,11.167,7.3314
ABBV,Manufacturing,2020,1.8344,80.64,11.922,6.6582
ABBV,Manufacturing,2021,2.1634,80.25,11.895,5.0347
ABBV,Manufacturing,2022,2.5223,80.25,11.841,3.7204
ABBV,Manufacturing,2023,2.479,72.93,11.811,5.8191
